"","block.no","lar.density","rep","sex","dev.time","b.mass.em"
"319",9.31,"high",7,"F","234.14999999996508",1.05
"320",9.31,"high",7,"F","221.29999999998836",0.92
"321",9.31,"high",7,"F","237.34999999991851",0.99
"322",9.31,"high",7,"F","287.54999999993015",1.05
"323",9.31,"high",7,"F","247.84999999991851",0.96
"324",9.31,"high",7,"F","242.74999999988358",1.02
"325",9.31,"high",7,"F","292.93333333334886",1.26
"326",9.41,"low",7,"F","199.59999999997672",2.82
"327",9.41,"low",13,"F","201.08333333325572",2.87
"328",9.41,"low",13,"F","204.96666666667443",2.9
"329",9.41,"low",13,"F","203.06666666659294",2.96
"330",9.41,"low",13,"F","219.14999999996508",2.94
"331",9.41,"low",13,"F","195.24999999994179",2.59
"332",9.41,"low",13,"F","215.66666666662786",3
"333",9.41,"low",13,"F","231.98333333339542",2.7
"334",9.41,"low",13,"F","195.08333333325572",2.67
"335",9.41,"low",13,"F","197.03333333332557",2.79
"336",9.41,"low",13,"F","230.1166666665813",2.7
"337",9.41,"low",13,"F","199.54999999998836",2.42
"338",9.42,"high",8,"F","198.56666666659294",1.62
"339",9.42,"high",8,"F","206.28333333326736",1.52
"340",9.42,"high",8,"F","206.51666666666279",1.53
"341",9.42,"high",8,"F","195.58333333331393",1.2
"342",9.42,"high",8,"F","212.49999999994179",1.05
"343",9.42,"high",8,"F","236.70000000006985",1.08
"344",9.42,"high",8,"F","222.43333333334886",1.04
"345",9.42,"high",8,"F","207.06666666670935",1.13
"346",9.42,"high",8,"F","205.6333333334187",1.23
"347",9.42,"high",8,"F","195.11666666669771",1.13
"348",9.42,"high",8,"F","197.49999999994179",1.25
"349",9.42,"high",8,"F","215.23333333327901",1.38
"350",9.42,"high",8,"F","215.03333333332557",1.11
"351",9.42,"high",8,"F","195.23333333339542",1.22
"352",9.42,"high",8,"F","209.39999999996508",1.28
"353",9.42,"high",8,"F","192.14999999996508",1.41
"354",9.42,"high",8,"F","190.78333333338378",1.42
"355",9.42,"high",8,"F","221.10000000003492",1.36
"356",9.42,"high",8,"F","219.06666666670935",1.02
"357",9.42,"high",8,"F","221.34999999997672",1.12
"358",9.42,"high",8,"F","196.20000000006985",1.3
"359",9.42,"high",8,"F","221.20000000001164",1.16
"360",9.42,"high",8,"F","217.69999999995343",1.2
"361",9.42,"high",8,"F","225.94999999995343",1.08
"362",9.42,"high",8,"F","190.78333333338378",1.43
"363",9.42,"high",8,"F","222.84999999997672",1.29
"364",9.42,"high",8,"F","187.06666666665114",1.22
"365",9.42,"high",8,"F","201.83333333325572",1.19
"366",9.42,"high",8,"F","195.08333333325572",1.13
"367",9.42,"high",8,"F","213.63333333330229",1.12
"368",9.42,"high",8,"F","218.48333333339542",0.99
"369",9.42,"high",8,"F","219.06666666670935",0.93
"370",9.42,"high",8,"F","224.56666666665114",0.89
"371",9.42,"high",8,"F","267.73333333327901",0.99
